"CRUISE","VESSEL","HAUL","LATITUDE","LONGITUDE","TEMP","SALINITY","pH","Turbidity","O2","DEPTH","MIN_DEPTH","MAX_DEPTH"
201501,178,1,52.51973,-169.986415,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,2,52.41763,-169.64859,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,3,52.666075,-169.356625,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,4,52.647945,-169.099665,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,5,52.844065,-168.7818,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,6,52.92919,-168.217405,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,7,52.98879,-167.806245,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,8,53.03246,-167.30011,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,9,53.31325,-166.45371,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,10,53.444815,-166.5216,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,11,53.564145,-166.104125,6.40050105263158,32.2506133107106,8.30038526315789,0.233258947368421,356.197884210526,100.332228634746,96.9047152136942,101.697650771637
201501,178,12,53.5191,-165.89909,6.32008661417323,32.2603568332098,8.23331496062992,0.290336614173228,344.171423228346,122.773717102125,120.776171428654,123.740262642659
201501,178,13,53.5299,-165.736,6.0554693877551,32.4253328775457,8.15382857142857,0.5502,309.148787755102,137.014280679038,132.038420293013,138.608893441268
201501,178,14,53.7296,-166.129975,6.89391115702479,32.3385312627676,8.33017561983471,0.636547520661157,381.635037190083,71.9616866142372,69.3764149260876,73.79606590159
201501,178,15,53.94048,-165.40975,6.6230862745098,32.1993252337295,8.30563333333333,0.221286274509804,360.434511764706,80.0364815502543,79.0456765118605,81.3111749910208
201501,178,16,53.78897,-165.07063,5.26175342465753,33.6627901218298,7.87630528375734,1.04681409001957,137.068268101761,149.117893977117,144.950222070549,150.546251814065
201501,178,17,53.700775,-164.48675,NA,NA,NA,NA,NA,NA,Inf,-Inf
201501,178,18,54.36471,-164.33853,5.91270781893004,31.9723409531341,8.21968312757202,0.505843621399177,325.776590534979,101.129809958998,99.0347245691288,101.572760336866
201501,178,19,54.35827,-164.46041,5.89129795918367,31.9896390852387,8.20987755102041,0.732526530612245,325.373842857143,92.9241531717112,91.5375994635986,93.9127009901469
201501,178,20,54.31233,-165.02809,5.57601663201663,32.685484574526,8.22559667359667,0.372328482328482,327.869120582121,85.8742085719761,83.6147824476548,90.1164871691655
201501,178,21,54.195685,-164.583625,5.83674946921444,31.9705164031016,8.19151380042463,0.428934182590234,320.047414012739,93.8423291203437,85.7146213139419,98.9741108271652
201501,178,22,54.101445,-164.70205,5.96691897233202,31.940708468047,8.21938537549407,0.724134387351779,321.244494071146,84.459703590664,81.6097133621998,88.0410591338084
201501,178,23,53.92422,-164.62248,5.84045825242718,32.1344331974464,8.18232038834952,0.428223300970874,322.004897087379,91.1196351261003,88.52718304135,93.0786453337084
201501,178,24,53.74452,-164.234075,4.82499419729207,33.8498115782492,7.84000580270793,0.577932301740812,102.389096711799,234.237437800103,226.673020762468,238.057427402523
201501,178,27,53.961,-163.856125,6.13011211573237,32.5416115626056,8.21224773960217,0.574388788426763,314.324453887884,82.8056275407624,72.9615320107153,86.3317915543807
201501,178,28,54.06288,-164.006395,5.726802734375,32.0708286204203,8.216798828125,0.42030078125,334.526626953125,70.4736256662573,68.8481464302427,71.2187567251688
201501,178,29,54.187815,-163.83954,5.58680041580042,32.1051423923505,8.15008731808732,0.971008316008316,299.778846153846,95.5840164287012,92.4466386588202,98.608546195562
201501,178,30,54.49489,-163.87599,5.75149588477366,31.9124999456731,8.2308683127572,0.568216049382716,331.960333333333,91.8338144647488,89.7308002645712,92.3812687926191
201501,178,31,54.468585,-163.83914,5.74068659793814,31.9590070211909,8.22407010309278,0.730651546391753,327.790160824742,88.5667395303223,86.1818325306054,89.3205490406364
201501,178,32,54.545495,-163.526755,6.07313016528926,31.7735789946526,8.25765702479339,0.728535123966942,319.349157024793,96.695769881868,94.7809234664975,99.0722615016376
